Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,44,2,12.9,2.2,3.9,.565,0.0,0.0,0,2.2,3.9,.565,.565,1.1,2.1,.500,1.3,2.4,3.6,0.5,0.3,0.5,0.8,1.5,5.4
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,42,42,28.1,3.5,5.5,.628,0.0,0.1,.000,3.5,5.4,.636,.628,1.1,2.3,.474,3.9,5.0,9.0,2.0,0.9,0.7,1.5,2.0,8.0
Bam Adebayo,C,23,MIA,40,40,33.7,7.3,12.8,.566,0.1,0.2,.286,7.2,12.6,.570,.568,4.8,5.7,.838,2.3,7.1,9.4,5.3,0.9,1.2,2.8,2.3,19.4
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
Ty-Shon Alexander,SG,22,PHO,4,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,37,7,19.7,3.6,8.6,.417,1.5,4.4,.346,2.1,4.2,.490,.505,0.9,1.1,.805,0.3,2.6,2.9,1.9,1.0,0.5,1.3,1.8,9.6
Grayson Allen,SG,25,MEM,31,19,24.8,3.3,7.8,.416,2.1,5.2,.406,1.2,2.7,.434,.549,1.5,1.6,.902,0.4,2.9,3.3,2.1,1.1,0.2,1.0,1.3,10.1
Jarrett Allen,C,22,TOT,44,26,28.7,4.8,7.5,.633,0.1,0.3,.417,4.6,7.2,.642,.641,3.5,4.9,.704,3.0,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,32,21,29.4,5.2,8.3,.623,0.2,0.4,.417,5.0,7.9,.632,.632,3.3,4.8,.684,3.0,6.7,9.7,1.7,0.4,1.7,1.3,1.5,13.8
Al-Farouq Aminu,PF,30,TOT,18,14,21.1,2.0,5.0,.400,0.4,1.8,.219,1.6,3.2,.500,.439,0.9,1.1,.842,1.1,4.2,5.3,1.6,0.9,0.5,1.5,1.3,5.3
Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
Kyle Anderson,PF,27,MEM,41,41,27.2,4.6,9.7,.479,1.4,3.7,.368,3.3,6.0,.547,.549,1.9,2.5,.762,0.8,4.9,5.7,3.4,1.2,0.7,1.3,1.6,12.5
Giannis Antetokounmpo,PF,26,MIL,42,42,34.0,10.3,18.4,.558,1.1,3.8,.300,9.1,14.6,.625,.589,6.6,9.8,.675,1.8,9.7,11.5,6.4,1.2,1.3,3.7,3.0,28.3
Kostas Antetokounmpo,PF,23,LAL,6,0,4.3,0.3,0.7,.500,0.0,0.0,0,0.3,0.7,.500,.500,0.3,0.7,.500,0.3,1.3,1.7,0.0,0.3,0.5,1.0,0.5,1.0
Thanasis Antetokounmpo,SF,28,MIL,33,1,9.6,1.3,2.3,.571,0.2,0.5,.353,1.2,1.8,.633,.610,0.3,0.7,.455,1.0,1.3,2.3,0.8,0.3,0.2,0.7,1.2,3.2
Carmelo Anthony,PF,36,POR,44,3,25.9,5.0,11.8,.419,1.8,4.6,.387,3.2,7.2,.440,.495,2.3,2.7,.863,0.5,2.8,3.3,1.7,0.8,0.7,1.0,2.3,14.0
Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
OG Anunoby,SF,23,TOR,27,27,33.4,5.2,10.7,.484,2.3,5.6,.407,2.9,5.1,.568,.590,1.7,2.3,.754,1.4,4.3,5.8,1.7,1.7,0.7,1.6,2.9,14.3
Ryan Arcidiacono,PG,26,CHI,27,0,11.0,1.1,2.9,.385,0.6,1.7,.319,0.6,1.1,.484,.481,0.4,0.6,.750,0.1,1.4,1.6,1.2,0.3,0.0,0.2,1.1,3.2
D.J. Augustin,PG,33,TOT,42,6,19.5,2.1,5.5,.384,1.3,3.5,.372,0.8,1.9,.407,.504,1.1,1.2,.918,0.3,1.1,1.5,3.1,0.5,0.0,1.0,0.9,6.6
D.J. Augustin,PG,33,MIL,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
Deni Avdija,SF,20,WAS,40,18,21.8,2.4,5.4,.433,1.0,3.0,.328,1.4,2.5,.561,.523,0.4,0.6,.625,0.4,4.1,4.5,1.2,0.6,0.2,0.7,2.7,6.1
Deandre Ayton,C,22,PHO,44,44,30.5,6.4,10.4,.611,0.1,0.4,.235,6.3,10.0,.626,.616,2.0,2.6,.763,3.3,7.6,10.9,1.5,0.4,1.1,1.7,3.1,14.8
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,45,27,25.1,3.7,9.3,.398,1.0,3.0,.333,2.7,6.3,.429,.452,1.7,2.0,.835,0.3,2.6,2.8,1.2,0.5,0.1,0.7,1.6,10.1
Marvin Bagley III,PF,21,SAC,37,37,25.7,5.6,11.2,.502,0.9,2.6,.354,4.7,8.6,.547,.543,1.6,2.9,.560,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9
LaMelo Ball,PG,19,CHO,41,21,28.6,5.8,12.8,.451,2.0,5.3,.375,3.8,7.6,.503,.528,2.4,3.0,.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
Lonzo Ball,PG,23,NOP,38,38,31.7,5.2,12.1,.425,3.0,7.8,.385,2.2,4.3,.497,.549,0.9,1.1,.767,0.6,3.6,4.2,5.6,1.3,0.6,2.0,2.0,14.2
Mo Bamba,C,22,ORL,23,0,10.7,2.0,4.3,.470,0.4,1.7,.263,1.6,2.7,.597,.520,0.3,0.7,.500,1.1,2.8,3.9,0.3,0.1,0.9,0.4,1.5,4.9
